Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
16500	164	33	0	0	1	0	0	312500	15	0	0	0	0	192538	0	310332	6	176051	0	168548	253597
16750	152	38	0	45	1	4072	0	318689	0	0	0	0	4004	200142	0	318713	7	177914	0	147545	268976
17000	124	66	2	16	1	0	0	318080	0	0	0	0	0	206122	0	326737	9	177019	0	143908	256273
17250	97	38	0	0	1	0	10	329033	10	0	0	0	1	202069	0	324704	7	180600	0	149159	266997
17500	139	49	14	0	1	0	0	337964	0	40	0	0	0	209822	0	331266	5311	188197	0	170381	295015
17750	94	127	0	0	0	0	0	351820	13	0	1	0	0	208078	0	332518	39	185947	0	161120	280029
18000	85	53	0	0	44	0	0	323723	0	0	0	0	0	198705	0	334018	7	187574	0	157026	284441
18250	105	84	0	0	1	0	0	327836	0	0	0	0	0	199888	0	319965	7	192290	0	160606	281345
18500	74	106	12	1	0	0	0	356869	4052	0	0	0	0	202061	0	376488	6	191970	0	164655	277203
18750	71	94	0	0	8	0	0	368987	6	1	0	0	1	241429	0	338173	6	195007	0	163315	296412
19000	4156	192	4025	14	0	0	0	382428	12	0	0	0	0	225963	0	369020	23	200238	0	167333	286946
19250	117	52	0	0	16	0	0	374862	8	0	0	0	1	232120	0	379481	9	206028	0	180810	286653
19500	109	46	30	0	2	0	0	370884	18	0	0	0	0	233379	0	381098	6	203046	0	176662	301799
19750	147	72	0	0	0	0	0	378233	20	6	15	0	0	238457	0	391647	8	208050	0	177552	311870
20000	95	73	9	0	0	0	0	385474	6	16	0	0	0	243506	0	395628	6	209102	0	181260	295746
20250	136	77	0	0	0	0	0	394980	1	12	0	0	0	243202	0	388241	6	212430	0	183885	313283
20500	189	133	1	0	1	0	0	393845	2	0	0	0	0	248586	0	404145	7	212415	0	183513	316104
20750	113	88	0	1	1	0	0	402775	2	0	0	0	2	258106	0	409627	16	219734	0	191929	323253
21000	161	120	4012	0	0	0	0	409033	6	0	0	0	1	253344	0	418271	7	223913	0	194410	320368
21250	103	164	0	0	0	0	0	396643	3	0	0	0	2	261552	0	422570	7	224212	0	199694	332530
21500	86	172	14	0	0	0	0	416483	3	0	0	0	0	256893	0	432782	6	222618	0	199108	331586
21750	4244	199	0	0	0	0	0	401372	16	0	0	0	57	277550	0	407619	8	227918	0	195233	345779
22000	137	4165	0	0	0	0	0	427095	3	0	1	0	0	272528	0	375357	9	232252	0	200811	335269
22250	150	71	0	0	2	0	0	471856	3	0	0	7	0	279892	0	461346	6	229616	0	207816	342737
22500	133	93	0	0	0	0	0	454146	3	0	0	0	0	281093	0	453807	9	239556	0	204638	349846
22750	108	106	0	0	0	8	0	452593	33	73	0	0	0	278872	0	467604	8	237646	0	207608	397037
23000	158	93	1	0	2	0	0	440459	36	0	0	0	1	277487	0	474787	6	241438	0	211821	354367
23250	94	188	0	0	0	0	32	463059	18	0	0	0	0	257319	0	476522	40	236841	0	211485	357299
23500	102	105	26	0	1	0	0	459723	14	0	0	0	33	309199	0	482595	7	251693	0	217069	352359
23750	123	127	0	0	0	0	0	463786	16	0	11	0	1	264281	0	477770	7	248080	0	218348	411145
24000	98	181	0	0	1	0	0	471955	18	1	0	0	0	321843	0	481554	7	252052	0	254689	369149
24250	93	166	0	1182	0	0	0	498054	13	0	0	0	1	307497	0	491591	9	255624	0	228134	371293
24500	4216	213	16	0	11	0	0	439759	26	1	0	0	1	300472	0	490684	7	254973	0	232293	406370
24750	145	124	0	0	0	0	0	485601	18	0	0	0	0	314208	0	454651	7	259207	1	229905	403398
